token_size	probabilities
5	0.16803020767778476
4	0.14348646947765892
3	0.09943360604153556
6	0.0723725613593455
7	0.04153555695405916
8	0.03901825047199497
9	0.03901825047199497
10	0.02957835116425425
13	0.025802391441157962
11	0.024543738200125866
12	0.02391441157960982
14	0.02076777847702958
2	0.01825047199496539
16	0.016362492133417242
17	0.015103838892385148
15	0.013845185651353053
20	0.013845185651353053
18	0.013215859030837005
19	0.01195720578980491
21	0.01195720578980491
23	0.01195720578980491
33	0.01195720578980491
26	0.010698552548772814
28	0.009439899307740718
25	0.008181246066708621
32	0.008181246066708621
34	0.008181246066708621
36	0.006922592825676526
22	0.0062932662051604785
24	0.0062932662051604785
27	0.0062932662051604785
40	0.005034612964128383
48	0.005034612964128383
29	0.004405286343612335
31	0.004405286343612335
30	0.003775959723096287
35	0.003775959723096287
37	0.003775959723096287
1	0.0031466331025802393
38	0.0031466331025802393
43	0.0031466331025802393
44	0.0031466331025802393
50	0.0025173064820641915
42	0.0018879798615481435
45	0.0018879798615481435
39	0.0012586532410320957
41	0.0012586532410320957
46	0.0012586532410320957
47	0.0012586532410320957
49	0.0012586532410320957
57	0.0012586532410320957
58	0.0012586532410320957
59	0.0012586532410320957
53	0.0006293266205160479
56	0.0006293266205160479
62	0.0006293266205160479
63	0.0006293266205160479
75	0.0006293266205160479
85	0.0006293266205160479
107	0.0006293266205160479
